"modelo","bloque_ppc","estadistico","componente","p_ppc"
"phi_cond_dia","global","centroide_aitchison","global",0.6794375
"phi_cond_dia","global","variacion_total_clr","global",0.9911875
"phi_cond_dia","marginal","centroide_por_proteoforma","unmod",0.4685
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me1",0.513375
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me2",0.5019375
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me3",0.5229375
"phi_cond_dia","marginal","centroide_por_proteoforma","K9ac",0.4294375
"phi_cond_dia","marginal","centroide_por_proteoforma","K14ac",0.4508125
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me1K14ac",0.45625
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me2K14ac",0.4543125
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me3K14ac",0.466
"phi_cond_dia","marginal","centroide_por_proteoforma","K9acK14ac",0.429
"phi_cond_dia","marginal","centroide_por_proteoforma","S10ph",0.340875
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me1S10ph",0.568875
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me2S10ph",0.53925
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me3S10ph",0.47825
"phi_cond_dia","marginal","centroide_por_proteoforma","K9acS10ph",0.6295
"phi_cond_dia","marginal","centroide_por_proteoforma","S10phK14ac",0.520375
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me1S10phK14ac",0.31025
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me2S10phK14ac",0.5515625
"phi_cond_dia","marginal","centroide_por_proteoforma","K9me3S10phK14ac",0.576
"phi_cond_dia","marginal","centroide_por_proteoforma","K9acS10phK14ac",0.4769375
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","unmod",0.5461875
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me1",0.58375
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me2",0.71425
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me3",0.6645
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9ac",0.7843125
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K14ac",0.5914375
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me1K14ac",0.587125
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me2K14ac",0.7865625
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me3K14ac",0.7498125
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9acK14ac",0.6549375
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","S10ph",0.80275
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me1S10ph",0.4930625
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me2S10ph",0.6369375
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me3S10ph",0.743875
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9acS10ph",0.67225
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","S10phK14ac",0.571375
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me1S10phK14ac",0.759875
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me2S10phK14ac",0.6056875
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9me3S10phK14ac",0.6501875
"phi_cond_dia","marginal","varianza_clr_por_proteoforma","K9acS10phK14ac",0.9776875
"phi_cond_dia","balances","media_balance","S10ph vs No-S10ph",0.562625
"phi_cond_dia","balances","media_balance","Mod vs Unmod",0.307875
"phi_cond_dia","balances","media_balance","Ac vs No-Ac",0.5278125
"phi_cond_dia","balances","varianza_balance","S10ph vs No-S10ph",0.5615625
"phi_cond_dia","balances","varianza_balance","Mod vs Unmod",0.5461875
"phi_cond_dia","balances","varianza_balance","Ac vs No-Ac",0.7598125
"phi_cond_dia","varianza_clr","T_clr","global",0.9906875
