"modelo","bloque_ppc","estadistico","componente","p_ppc"
"phi_comun","global","centroide_aitchison","global",0.697125
"phi_comun","global","variacion_total_clr","global",0.9985625
"phi_comun","marginal","centroide_por_proteoforma","unmod",0.2705
"phi_comun","marginal","centroide_por_proteoforma","K9me1",0.448
"phi_comun","marginal","centroide_por_proteoforma","K9me2",0.4488125
"phi_comun","marginal","centroide_por_proteoforma","K9me3",0.4505
"phi_comun","marginal","centroide_por_proteoforma","K9ac",0.47975
"phi_comun","marginal","centroide_por_proteoforma","K14ac",0.4524375
"phi_comun","marginal","centroide_por_proteoforma","K9me1K14ac",0.4401875
"phi_comun","marginal","centroide_por_proteoforma","K9me2K14ac",0.44725
"phi_comun","marginal","centroide_por_proteoforma","K9me3K14ac",0.43125
"phi_comun","marginal","centroide_por_proteoforma","K9acK14ac",0.461625
"phi_comun","marginal","centroide_por_proteoforma","S10ph",0.5978125
"phi_comun","marginal","centroide_por_proteoforma","K9me1S10ph",0.632
"phi_comun","marginal","centroide_por_proteoforma","K9me2S10ph",0.6098125
"phi_comun","marginal","centroide_por_proteoforma","K9me3S10ph",0.5714375
"phi_comun","marginal","centroide_por_proteoforma","K9acS10ph",0.6105625
"phi_comun","marginal","centroide_por_proteoforma","S10phK14ac",0.6341875
"phi_comun","marginal","centroide_por_proteoforma","K9me1S10phK14ac",0.5836875
"phi_comun","marginal","centroide_por_proteoforma","K9me2S10phK14ac",0.600375
"phi_comun","marginal","centroide_por_proteoforma","K9me3S10phK14ac",0.5771875
"phi_comun","marginal","centroide_por_proteoforma","K9acS10phK14ac",0.5115625
"phi_comun","marginal","varianza_clr_por_proteoforma","unmod",0.191125
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me1",0.3655
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me2",0.2679375
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me3",0.273125
"phi_comun","marginal","varianza_clr_por_proteoforma","K9ac",0.92025
"phi_comun","marginal","varianza_clr_por_proteoforma","K14ac",0.368375
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me1K14ac",0.4305
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me2K14ac",0.292375
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me3K14ac",0.4678125
"phi_comun","marginal","varianza_clr_por_proteoforma","K9acK14ac",0.7751875
"phi_comun","marginal","varianza_clr_por_proteoforma","S10ph",0.6468125
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me1S10ph",0.5024375
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me2S10ph",0.66325
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me3S10ph",0.75725
"phi_comun","marginal","varianza_clr_por_proteoforma","K9acS10ph",0.8761875
"phi_comun","marginal","varianza_clr_por_proteoforma","S10phK14ac",0.502875
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me1S10phK14ac",0.485625
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me2S10phK14ac",0.6631875
"phi_comun","marginal","varianza_clr_por_proteoforma","K9me3S10phK14ac",0.78175
"phi_comun","marginal","varianza_clr_por_proteoforma","K9acS10phK14ac",0.9948125
"phi_comun","balances","media_balance","S10ph vs No-S10ph",0.6013125
"phi_comun","balances","media_balance","Mod vs Unmod",0.5661875
"phi_comun","balances","media_balance","Ac vs No-Ac",0.51625
"phi_comun","balances","varianza_balance","S10ph vs No-S10ph",0.4735625
"phi_comun","balances","varianza_balance","Mod vs Unmod",0.191125
"phi_comun","balances","varianza_balance","Ac vs No-Ac",0.893
"phi_comun","varianza_clr","T_clr","global",0.998375
"phi_cond","global","centroide_aitchison","global",0.696125
"phi_cond","global","variacion_total_clr","global",0.9974375
"phi_cond","marginal","centroide_por_proteoforma","unmod",0.34325
"phi_cond","marginal","centroide_por_proteoforma","K9me1",0.4510625
"phi_cond","marginal","centroide_por_proteoforma","K9me2",0.4546875
"phi_cond","marginal","centroide_por_proteoforma","K9me3",0.4450625
"phi_cond","marginal","centroide_por_proteoforma","K9ac",0.475625
"phi_cond","marginal","centroide_por_proteoforma","K14ac",0.446125
"phi_cond","marginal","centroide_por_proteoforma","K9me1K14ac",0.44175
"phi_cond","marginal","centroide_por_proteoforma","K9me2K14ac",0.4368125
"phi_cond","marginal","centroide_por_proteoforma","K9me3K14ac",0.4243125
"phi_cond","marginal","centroide_por_proteoforma","K9acK14ac",0.461875
"phi_cond","marginal","centroide_por_proteoforma","S10ph",0.5869375
"phi_cond","marginal","centroide_por_proteoforma","K9me1S10ph",0.641875
"phi_cond","marginal","centroide_por_proteoforma","K9me2S10ph",0.6033125
"phi_cond","marginal","centroide_por_proteoforma","K9me3S10ph",0.5565625
"phi_cond","marginal","centroide_por_proteoforma","K9acS10ph",0.603125
"phi_cond","marginal","centroide_por_proteoforma","S10phK14ac",0.6348125
"phi_cond","marginal","centroide_por_proteoforma","K9me1S10phK14ac",0.582625
"phi_cond","marginal","centroide_por_proteoforma","K9me2S10phK14ac",0.5963125
"phi_cond","marginal","centroide_por_proteoforma","K9me3S10phK14ac",0.5744375
"phi_cond","marginal","centroide_por_proteoforma","K9acS10phK14ac",0.504875
"phi_cond","marginal","varianza_clr_por_proteoforma","unmod",0.179
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me1",0.3519375
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me2",0.2435625
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me3",0.2633125
"phi_cond","marginal","varianza_clr_por_proteoforma","K9ac",0.905375
"phi_cond","marginal","varianza_clr_por_proteoforma","K14ac",0.3543125
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me1K14ac",0.4063125
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me2K14ac",0.276
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me3K14ac",0.4475625
"phi_cond","marginal","varianza_clr_por_proteoforma","K9acK14ac",0.7511875
"phi_cond","marginal","varianza_clr_por_proteoforma","S10ph",0.6475625
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me1S10ph",0.4849375
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me2S10ph",0.6749375
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me3S10ph",0.7624375
"phi_cond","marginal","varianza_clr_por_proteoforma","K9acS10ph",0.865875
"phi_cond","marginal","varianza_clr_por_proteoforma","S10phK14ac",0.4953125
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me1S10phK14ac",0.458625
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me2S10phK14ac",0.661875
"phi_cond","marginal","varianza_clr_por_proteoforma","K9me3S10phK14ac",0.7699375
"phi_cond","marginal","varianza_clr_por_proteoforma","K9acS10phK14ac",0.9948125
"phi_cond","balances","media_balance","S10ph vs No-S10ph",0.5971875
"phi_cond","balances","media_balance","Mod vs Unmod",0.5226875
"phi_cond","balances","media_balance","Ac vs No-Ac",0.50925
"phi_cond","balances","varianza_balance","S10ph vs No-S10ph",0.4745
"phi_cond","balances","varianza_balance","Mod vs Unmod",0.179
"phi_cond","balances","varianza_balance","Ac vs No-Ac",0.8833125
"phi_cond","varianza_clr","T_clr","global",0.9973125
"phi_comun_dia","global","centroide_aitchison","global",0.679875
"phi_comun_dia","global","variacion_total_clr","global",0.989875
"phi_comun_dia","marginal","centroide_por_proteoforma","unmod",0.4989375
"phi_comun_dia","marginal","centroide_por_proteoforma","K9me1",0.50125
