"modelo","bloque_ppc","estadistico","componente","p_ppc"
"kappa_cond_dia","global","centroide_aitchison","global",0.8608125
"kappa_cond_dia","global","variacion_total_clr","global",0.9905
"kappa_cond_dia","marginal","centroide_por_proteoforma","unmod",0.4684375
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me1",0.4998125
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me2",0.5834375
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me3",0.6088125
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9ac",0.704375
"kappa_cond_dia","marginal","centroide_por_proteoforma","K14ac",0.4453125
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me1K14ac",0.4258125
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me2K14ac",0.4709375
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me3K14ac",0.653125
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9acK14ac",0.320125
"kappa_cond_dia","marginal","centroide_por_proteoforma","S10ph",0.3375
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me1S10ph",0.6059375
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me2S10ph",0.4345625
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me3S10ph",0.3445625
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9acS10ph",0.370625
"kappa_cond_dia","marginal","centroide_por_proteoforma","S10phK14ac",0.6116875
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me1S10phK14ac",0.4560625
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me2S10phK14ac",0.38075
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9me3S10phK14ac",0.3820625
"kappa_cond_dia","marginal","centroide_por_proteoforma","K9acS10phK14ac",0.166125
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","unmod",0.7163125
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me1",0.703
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me2",0.72125
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me3",0.6788125
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9ac",0.5910625
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K14ac",0.7378125
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me1K14ac",0.74825
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me2K14ac",0.796
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me3K14ac",0.686
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9acK14ac",0.786875
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","S10ph",0.78175
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me1S10ph",0.3809375
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me2S10ph",0.5126875
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me3S10ph",0.5055
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9acS10ph",0.834125
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","S10phK14ac",0.4345
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me1S10phK14ac",0.5994375
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me2S10phK14ac",0.5336875
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9me3S10phK14ac",0.608
"kappa_cond_dia","marginal","varianza_clr_por_proteoforma","K9acS10phK14ac",0.986
"kappa_cond_dia","balances","media_balance","S10ph vs No-S10ph",0.4419375
"kappa_cond_dia","balances","media_balance","Mod vs Unmod",0.1803125
"kappa_cond_dia","balances","media_balance","Ac vs No-Ac",0.86775
"kappa_cond_dia","balances","varianza_balance","S10ph vs No-S10ph",0.50975
"kappa_cond_dia","balances","varianza_balance","Mod vs Unmod",0.7163125
"kappa_cond_dia","balances","varianza_balance","Ac vs No-Ac",0.690375
"kappa_cond_dia","varianza_clr","T_clr","global",0.9900625
