"modelo","bloque_ppc","estadistico","componente","p_ppc"
"kappa_cond","global","centroide_aitchison","global",0.878375
"kappa_cond","global","variacion_total_clr","global",0.999625
"kappa_cond","marginal","centroide_por_proteoforma","unmod",0.445
"kappa_cond","marginal","centroide_por_proteoforma","K9me1",0.4705
"kappa_cond","marginal","centroide_por_proteoforma","K9me2",0.44
"kappa_cond","marginal","centroide_por_proteoforma","K9me3",0.50425
"kappa_cond","marginal","centroide_por_proteoforma","K9ac",0.8070625
"kappa_cond","marginal","centroide_por_proteoforma","K14ac",0.335875
"kappa_cond","marginal","centroide_por_proteoforma","K9me1K14ac",0.3259375
"kappa_cond","marginal","centroide_por_proteoforma","K9me2K14ac",0.587625
"kappa_cond","marginal","centroide_por_proteoforma","K9me3K14ac",0.7576875
"kappa_cond","marginal","centroide_por_proteoforma","K9acK14ac",0.371375
"kappa_cond","marginal","centroide_por_proteoforma","S10ph",0.6153125
"kappa_cond","marginal","centroide_por_proteoforma","K9me1S10ph",0.6434375
"kappa_cond","marginal","centroide_por_proteoforma","K9me2S10ph",0.5630625
"kappa_cond","marginal","centroide_por_proteoforma","K9me3S10ph",0.31925
"kappa_cond","marginal","centroide_por_proteoforma","K9acS10ph",0.3678125
"kappa_cond","marginal","centroide_por_proteoforma","S10phK14ac",0.716875
"kappa_cond","marginal","centroide_por_proteoforma","K9me1S10phK14ac",0.5756875
"kappa_cond","marginal","centroide_por_proteoforma","K9me2S10phK14ac",0.4699375
"kappa_cond","marginal","centroide_por_proteoforma","K9me3S10phK14ac",0.38475
"kappa_cond","marginal","centroide_por_proteoforma","K9acS10phK14ac",0.1361875
"kappa_cond","marginal","varianza_clr_por_proteoforma","unmod",0.6946875
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me1",0.6879375
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me2",0.61925
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me3",0.5731875
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9ac",0.810625
"kappa_cond","marginal","varianza_clr_por_proteoforma","K14ac",0.7401875
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me1K14ac",0.7679375
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me2K14ac",0.5366875
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me3K14ac",0.504625
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9acK14ac",0.835875
"kappa_cond","marginal","varianza_clr_por_proteoforma","S10ph",0.614
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me1S10ph",0.448625
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me2S10ph",0.5790625
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me3S10ph",0.7175625
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9acS10ph",0.9485625
"kappa_cond","marginal","varianza_clr_por_proteoforma","S10phK14ac",0.3905625
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me1S10phK14ac",0.48475
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me2S10phK14ac",0.663125
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9me3S10phK14ac",0.8264375
"kappa_cond","marginal","varianza_clr_por_proteoforma","K9acS10phK14ac",0.9985
"kappa_cond","balances","media_balance","S10ph vs No-S10ph",0.5301875
"kappa_cond","balances","media_balance","Mod vs Unmod",0.2915625
"kappa_cond","balances","media_balance","Ac vs No-Ac",0.8870625
"kappa_cond","balances","varianza_balance","S10ph vs No-S10ph",0.5075625
"kappa_cond","balances","varianza_balance","Mod vs Unmod",0.6946875
"kappa_cond","balances","varianza_balance","Ac vs No-Ac",0.8098125
"kappa_cond","varianza_clr","T_clr","global",0.999625
