"modelo","bloque_ppc","estadistico","componente","p_ppc"
"lognor_v1_dia_sum0coef_delta_comun_revisado","global","centroide_aitchison","global",0.4305
"lognor_v1_dia_sum0coef_delta_comun_revisado","global","variacion_total_clr","global",0.3406875
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","unmod",0.43075
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me1",0.44925
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me2",0.42225
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me3",0.427875
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9ac",0.5181875
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K14ac",0.4505625
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me1K14ac",0.4546875
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me2K14ac",0.43975
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me3K14ac",0.444625
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9acK14ac",0.5099375
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","S10ph",0.5146875
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me1S10ph",0.5259375
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me2S10ph",0.5014375
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9me3S10ph",0.50325
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","K9acS10ph",0.5776875
"lognor_v1_dia_sum0coef_delta_comun_revisado","marginal","centroide_por_proteoforma","S10phK14ac",0.53075
