"modelo","bloque_ppc","estadistico","componente","p_ppc"
"lognor_v1_dia_sum0coef_revisado","global","centroide_aitchison","global",0.3714375
"lognor_v1_dia_sum0coef_revisado","global","variacion_total_clr","global",0.1761875
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","unmod",0.430625
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me1",0.440875
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me2",0.4245625
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me3",0.42225
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9ac",0.5580625
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K14ac",0.4788125
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me1K14ac",0.47525
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me2K14ac",0.46575
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me3K14ac",0.4638125
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9acK14ac",0.519875
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","S10ph",0.5581875
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me1S10ph",0.5850625
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me2S10ph",0.5376875
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me3S10ph",0.538625
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9acS10ph",0.6391875
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","S10phK14ac",0.5905625
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me1S10phK14ac",0.5946875
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me2S10phK14ac",0.575625
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me3S10phK14ac",0.5875625
"lognor_v1_dia_sum0coef_revisado","marginal","centroide_por_proteoforma","K9acS10phK14ac",0.61525
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","unmod",0.3181875
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me1",0.328875
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me2",0.277
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me3",0.2284375
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9ac",0.2646875
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K14ac",0.3676875
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me1K14ac",0.372625
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me2K14ac",0.159
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me3K14ac",0.1494375
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9acK14ac",0.3935
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","S10ph",0.4911875
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me1S10ph",0.2591875
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me2S10ph",0.616
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me3S10ph",0.6125
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9acS10ph",0.307
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","S10phK14ac",0.255125
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me1S10phK14ac",0.11725
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me2S10phK14ac",0.50125
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9me3S10phK14ac",0.52975
"lognor_v1_dia_sum0coef_revisado","marginal","varianza_clr_por_proteoforma","K9acS10phK14ac",0.6035625
"lognor_v1_dia_sum0coef_revisado","balances","media_balance","S10ph vs No-S10ph",0.61075
"lognor_v1_dia_sum0coef_revisado","balances","media_balance","Mod vs Unmod",0.6308125
"lognor_v1_dia_sum0coef_revisado","balances","media_balance","Ac vs No-Ac",0.5216875
"lognor_v1_dia_sum0coef_revisado","balances","varianza_balance","S10ph vs No-S10ph",0.1814375
"lognor_v1_dia_sum0coef_revisado","balances","varianza_balance","Mod vs Unmod",0.3181875
"lognor_v1_dia_sum0coef_revisado","balances","varianza_balance","Ac vs No-Ac",0.488375
"lognor_v1_dia_sum0coef_revisado","varianza_clr","T_clr","global",0.1763125
