"modelo","bloque_ppc","estadistico","componente","p_ppc"
"lognor_v1_sum0coef_revisado","global","centroide_aitchison","global",0.3665
"lognor_v1_sum0coef_revisado","global","variacion_total_clr","global",0.1779375
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","unmod",0.435
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me1",0.4366875
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me2",0.4138125
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me3",0.4220625
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9ac",0.5669375
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K14ac",0.474
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me1K14ac",0.478875
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me2K14ac",0.458
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me3K14ac",0.4555625
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9acK14ac",0.5310625
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","S10ph",0.5769375
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me1S10ph",0.5974375
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me2S10ph",0.543125
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me3S10ph",0.5436875
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9acS10ph",0.647125
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","S10phK14ac",0.592625
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me1S10phK14ac",0.598625
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me2S10phK14ac",0.5628125
"lognor_v1_sum0coef_revisado","marginal","centroide_por_proteoforma","K9me3S10phK14ac",0.5698125
