"criterio","familia","modelo","modelo_global","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"loo","epistasia.epistasia","fit_kappa_comun_dia","epistasia.epistasia__fit_kappa_comun_dia",0,0,526.370152428206,28.7983557388463,61.5069472947627,2.80180591253467,-1052.74030485641,57.5967114776926
"loo","dirichlet.dirichlet","fit_dirich_phi_comun_dia","dirichlet.dirichlet__fit_dirich_phi_comun_dia",-6.04524408577994,4.40654466638242,520.324908342426,29.663908797915,59.7927375747118,4.48146413871128,-1040.64981668485,59.32781759583
"loo","epistasia.epistasia","fit_kappa_cond_dia","epistasia.epistasia__fit_kappa_cond_dia",-19.9599083626183,18.5177514215525,506.410244065588,46.203645892706,132.296395365963,11.4611063552727,-1012.82048813118,92.407291785412
"loo","dirichlet.dirichlet","fit_dirich_phi_cond_dia","dirichlet.dirichlet__fit_dirich_phi_cond_dia",-21.4085337106997,7.60479698864939,504.961618717506,29.2918768630812,102.556952675739,11.5453082602779,-1009.92323743501,58.5837537261624
"loo","epistasia.epistasia","fit_kappa_cond","epistasia.epistasia__fit_kappa_cond",-103.539334291197,14.0295557758374,422.830818137009,38.2400947442891,38.740657419633,6.89635344639838,-845.661636274019,76.4801894885781
"loo","epistasia.epistasia","fit_kappa_comun","epistasia.epistasia__fit_kappa_comun",-105.98706505305,17.5292605247154,420.383087375156,39.5607035486532,35.7767511860036,10.0753354418441,-840.766174750312,79.1214070973063
"loo","dirichlet.dirichlet","fit_dirich_phi_comun","dirichlet.dirichlet__fit_dirich_phi_comun",-106.223885397521,12.8348369004829,420.146267030685,37.6504220451469,32.6070831006653,6.09132639313222,-840.292534061371,75.3008440902937
"loo","dirichlet.dirichlet","fit_dirich_phi_cond","dirichlet.dirichlet__fit_dirich_phi_cond",-107.249401894377,12.1979376649341,419.120750533829,37.5496022368502,39.4227305411353,4.36649763304567,-838.241501067658,75.0992044737004
"loo","lognormal_sum0.lognormal_sum0","fit_lognor_v1_dia_sum0coef","lognormal_sum0.lognormal_sum0__fit_lognor_v1_dia_sum0coef",-1250.78936731966,79.1389237644104,-724.419214891458,51.2404849945903,51.1545776377623,5.30942176425809,1448.83842978292,102.480969989181
"loo","lognormal_sum0.lognormal_sum0","fit_lognor_v1_sum0coef","lognormal_sum0.lognormal_sum0__fit_lognor_v1_sum0coef",-1258.95683596475,79.7654095168148,-732.58668353654,52.6252301736735,37.9036807042872,6.00352328371141,1465.17336707308,105.250460347347
"loo","lognormal_sum0.lognormal_sum0","fit_lognor_v1_dia_sum0coef_delta_comun","lognormal_sum0.lognormal_sum0__fit_lognor_v1_dia_sum0coef_delta_comun",-1263.80646051466,79.2172922982571,-737.436308086452,51.2327089604278,66.9224722539419,7.0840895773989,1474.8726161729,102.465417920856
"loo","lognormal_sum0.lognormal_sum0","fit_lognor_v1_sum0coef_delta_comun","lognormal_sum0.lognormal_sum0__fit_lognor_v1_sum0coef_delta_comun",-1282.59804448837,79.5261873487113,-756.22789206016,52.3214559226491,37.5828355134729,4.90897321918031,1512.45578412032,104.642911845298
